Sweeped Octave, -
Resolution, 1/6 octave
Numpoints, 512
Frequency(Hz), Magnitude(dB)
 1823.774, -30.300880
 1843.182, -30.252586
 1862.796, -30.180614
 1882.619, -30.136177
 1902.654, -30.152380
 1922.901, -30.250965
 1943.364, -30.448343
 1964.044, -30.752003
 1984.945, -31.163719
 2006.068, -31.681263
 2027.416, -32.294689
 2048.991, -32.980293
 2070.795, -33.693001
 2092.832, -34.358459
 2115.103, -34.878986
 2137.611, -35.164207
 2160.359, -35.174133
 2183.349, -34.951893
 2206.583, -34.599327
 2230.065, -34.219738
 2253.796, -33.896633
 2277.780, -33.677509
 2302.020, -33.586281
 2326.517, -33.638290
 2351.275, -33.824780
 2376.296, -34.137733
 2401.583, -34.555752
 2427.140, -35.042198
 2452.969, -35.531986
 2479.073, -35.921150
 2505.454, -36.095032
 2532.116, -35.945107
 2559.062, -35.482555
 2586.294, -34.796593
 2613.817, -34.024235
 2641.632, -33.284103
 2669.743, -32.646061
 2698.154, -32.148396
 2726.867, -31.809719
 2755.885, -31.626926
 2785.212, -31.598335
 2814.851, -31.715305
 2844.806, -31.973961
 2875.079, -32.375763
 2905.675, -32.924320
 2936.596, -33.632446
 2967.846, -34.515747
 2999.428, -35.591351
 3031.347, -36.873981
 3063.606, -38.363106
 3096.208, -40.013107
 3129.156, -41.698872
 3162.456, -43.186314
 3196.109, -44.200531
 3230.121, -44.679008
 3264.495, -44.837059
 3299.234, -44.917500
 3334.344, -44.958076
 3369.826, -44.751907
 3405.687, -44.028309
 3441.929, -42.830360
 3478.557, -41.478813
 3515.574, -40.295063
 3552.985, -39.443279
 3590.795, -38.966022
 3629.007, -38.814266
 3667.625, -38.854103
 3706.655, -38.886719
 3746.100, -38.742630
 3785.964, -38.411423
 3826.253, -38.048092
 3866.971, -37.848503
 3908.122, -37.926548
 3949.710, -38.304546
 3991.742, -38.885128
 4034.220, -39.463669
 4077.151, -39.814373
 4120.539, -39.900562
 4164.388, -39.928902
 4208.704, -40.149246
 4253.491, -40.719604
 4298.755, -41.698147
 4344.501, -43.072815
 4390.733, -44.721424
 4437.458, -46.235306
 4484.680, -46.880253
 4532.404, -46.461269
 4580.636, -45.680374
 4629.381, -45.093826
 4678.646, -44.822128
 4728.434, -44.803337
 4778.752, -44.989845
 4829.606, -45.369976
 4881.001, -45.890205
 4932.942, -46.404942
 4985.437, -46.849892
 5038.490, -47.463928
 5092.108, -48.594131
 5146.296, -49.852894
 5201.061, -49.033028
 5256.409, -46.153557
 5312.346, -43.509995
 5368.878, -41.712940
 5426.011, -40.664932
 5483.753, -40.173271
 5542.109, -40.040966
 5601.086, -40.046562
 5660.690, -39.977795
 5720.930, -39.748417
 5781.810, -39.474503
 5843.337, -39.365646
 5905.520, -39.578236
 5968.364, -40.157391
 6031.877, -41.031364
 6096.066, -41.994400
 6160.938, -42.684780
 6226.501, -42.811783
 6292.761, -42.529591
 6359.726, -42.305370
 6427.404, -42.443501
 6495.802, -42.971333
 6564.928, -43.772926
 6634.790, -44.736900
 6705.395, -45.751354
 6776.750, -46.568947
 6848.866, -46.906651
 6921.750, -46.919476
 6995.408, -47.186493
 7069.851, -48.153137
 7145.085, -49.837063
 7221.121, -51.674828
 7297.965, -52.897865
 7375.627, -53.568623
 7454.116, -53.904408
 7533.440, -53.852959
 7613.608, -53.981842
 7694.629, -54.177025
 7776.512, -53.965302
 7859.267, -54.079006
 7942.902, -54.323463
 8027.428, -54.341919
 8112.853, -54.695393
 8199.187, -54.457962
 8286.439, -53.507076
 8374.621, -52.801590
 8463.740, -52.372200
 8553.809, -51.994984
 8644.835, -51.809437
 8736.830, -52.032990
 8829.804, -51.934166
 8923.768, -51.813377
 9018.730, -52.169350
 9114.704, -52.285484
 9211.700, -51.747955
 9309.728, -50.593445
 9408.798, -49.741932
 9508.923, -49.400799
 9610.113, -49.411224
 9712.381, -49.486286
 9815.736, -49.142811
 9920.191, -48.921288
10025.758, -48.973190
10132.448, -48.991085
10240.274, -49.090179
10349.247, -49.729397
10459.380, -51.161449
10570.686, -52.422455
10683.175, -52.786995
10796.860, -52.223106
10911.757, -51.716606
11027.876, -51.938835
11145.230, -51.601166
11263.834, -50.770584
11383.699, -50.270298
11504.840, -49.892952
11627.271, -49.616100
11751.004, -49.537949
11876.053, -49.750095
12002.434, -50.209648
12130.159, -50.798439
12259.244, -51.222408
12389.702, -51.494507
12521.549, -52.316261
12654.798, -53.441227
12789.466, -53.762157
12925.566, -53.950512
13063.115, -54.341492
13202.128, -54.657158
13342.620, -55.094486
13484.607, -55.266331
13628.105, -55.261673
13773.131, -55.456001
13919.699, -55.097557
14067.828, -54.496887
14217.532, -54.224777
14368.830, -54.440453
14521.737, -55.140755
14676.272, -55.545181
14832.452, -55.748825
14990.293, -55.714882
15149.814, -55.232979
15311.033, -54.999783
15473.968, -55.063831
15638.636, -55.910477
15805.056, -56.790710
15973.247, -57.806503
16143.229, -58.961418
16315.019, -59.070930
16488.637, -59.103622
16664.104, -59.061508
16841.436, -59.246979
17020.656, -59.839790
17201.783, -59.663071
17384.840, -59.575928
17569.842, -59.133354
17756.814, -59.379684
17945.775, -59.222839
18136.748, -59.490047
18329.752, -59.568325
18524.811, -59.377373
18721.943, -59.405529
18921.176, -59.125542
19122.527, -58.216438
19326.023, -57.578152
19531.684, -57.223053
19739.531, -57.572163
19949.592, -57.887241
20161.889, -58.074074
20376.443, -58.023499
20593.283, -57.962196
20812.428, -57.998077
